date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-01-08,2142.0,2150.88,2090.0,2063.02,53861.64,-50.0,-2.34,2077.29,1988.745,1914.923,46966.66,38418.15,36489.13,0.43
2021-01-07,2097.0,2140.0,2140.0,2075.0,37931.39,40.0,1.91,2058.89,1962.779,1902.068,43966.34,36817.7,35428.72,0.3
2021-01-06,2064.8,2125.0,2100.0,2036.03,47410.2,40.55,1.97,2017.49,1932.944,1887.068,43270.48,37795.17,35089.76,0.38
2021-01-05,1990.0,2059.45,2059.45,1982.46,52116.05,62.45,3.13,1970.89,1911.044,1874.568,38361.96,37119.21,35791.95,0.41
2021-01-04,1999.98,2004.99,1997.0,1983.81,43514.0,-1.0,-0.05,1933.6,1889.349,1862.216,33954.83,34977.27,36102.71,0.35
2020-12-31,1941.0,1998.98,1998.0,1939.0,38860.07,65.0,3.36,1900.2,1874.149,1852.021,29869.64,33333.57,37051.57,0.31
2020-12-30,1870.0,1933.0,1933.0,1869.99,34452.1,66.0,3.54,1866.668,1860.9,1839.571,29669.05,33050.63,36583.86,0.27
2020-12-29,1873.0,1886.8,1867.0,1855.0,22867.59,-6.0,-0.32,1848.398,1851.6,1829.822,32319.85,32820.43,36039.84,0.18
2020-12-28,1826.6,1888.8,1873.0,1826.05,30080.37,43.0,2.35,1851.198,1846.501,1823.322,35876.45,33494.17,36306.27,0.24
2020-12-25,1802.99,1847.0,1830.0,1800.0,23088.05,-0.34,-0.02,1845.098,1842.101,1815.367,35999.72,33791.34,36399.25,0.18
2020-12-24,1818.0,1858.88,1830.34,1795.02,37857.14,-11.31,-0.61,1848.098,1841.101,1810.762,36797.51,34560.11,36323.28,0.3
2020-12-23,1897.99,1906.2,1841.65,1821.02,47706.09,-39.35,-2.09,1855.132,1841.357,1805.965,36432.21,34039.75,35591.84,0.38
2020-12-22,1849.97,1898.99,1881.0,1842.51,40650.6,38.5,2.09,1854.802,1841.192,1800.226,33321.02,32384.35,34617.85,0.32
2020-12-21,1840.0,1851.23,1842.5,1837.6,30696.72,-2.5,-0.14,1841.804,1838.092,1794.351,31111.89,34464.69,34208.59,0.24
2020-12-18,1851.81,1869.01,1845.0,1841.08,27076.98,-20.51,-1.1,1839.104,1835.082,1791.737,31582.95,37228.15,36005.61,0.22
2020-12-17,1845.5,1868.0,1865.51,1840.0,36030.64,25.51,1.39,1834.104,1829.893,1785.485,32322.71,40769.57,35745.5,0.29
2020-12-16,1830.5,1845.67,1840.0,1820.21,32150.16,23.99,1.32,1827.582,1818.242,1778.219,31647.29,40117.09,35334.75,0.26
2020-12-15,1833.5,1837.22,1816.01,1805.0,29604.97,-12.99,-0.71,1827.582,1808.043,1770.901,31447.68,39259.24,35486.19,0.24
2020-12-14,1827.77,1829.98,1829.0,1815.0,33052.0,9.0,0.49,1834.38,1800.142,1765.891,37817.49,39118.36,35267.15,0.26
